Temp,Humidity,Visibility,Wind,Precip,Time,Avspeed
2,57,3,5,5,87,61
8,30,7,6,5,25,73
7,6,3,6,5,-7,57
7,32,10,7,5,14,23
4,63,6,6,1,35,17
11,62,8,3,2,69,19
17,40,2,6,4,68,0
5,1,9,5,2,63,38
14,55,7,11,5,19,24
6,29,4,5,5,-10,58
8,79,1,2,1,40,46
12,17,4,5,4,14,35
9,31,1,7,5,17,24
15,34,4,2,5,-8,40
17,51,7,6,5,53,62
13,36,2,2,3,62,28
14,30,11,4,5,-9,21
7,48,1,3,2,90,25
14,43,2,5,5,21,56
18,8,3,6,4,48,21
7,41,2,5,4,-11,33
6,30,6,2,2,76,18
8,38,1,7,4,-5,55
4,30,3,6,4,72,66
12,48,12,7,5,59,72
9,35,5,5,5,86,30
10,51,8,9,5,29,57
10,51,3,10,5,-19,14
14,10,1,7,5,-7,25
5,7,1,11,5,88,37
8,15,3,2,4,-4,28
16,11,5,4,5,-15,39
17,40,3,2,5,13,57
4,12,1,8,5,23,59
1,40,4,5,5,19,29
7,30,12,9,5,44,20
16,29,3,6,5,90,72
10,42,9,8,5,15,26
4,42,2,5,2,31,80
10,13,9,1,1,18,44
12,44,1,5,1,56,31
7,46,5,8,5,1,40
20,36,8,5,5,26,64
9,61,11,12,5,86,48
19,46,11,11,5,87,22
20,32,8,5,5,45,5
16,24,4,12,5,30,16
8,34,7,3,5,70,77
6,12,2,4,5,5,14
3,77,6,6,3,4,59
1,51,4,3,1,76,32
12,1,9,7,5,69,0
11,64,5,5,3,106,45
17,11,3,5,4,-17,5
11,38,3,3,5,33,18
12,54,2,5,5,79,43
12,9,9,11,5,66,38
5,4,4,4,5,17,56
14,46,7,4,5,42,50
4,28,5,2,1,110,57
4,16,4,7,5,52,22
16,36,11,3,5,52,44
13,45,6,11,5,3,36
16,13,2,5,4,30,21
13,11,3,6,1,84,13
8,57,2,7,5,6,26
1,55,2,2,4,70,72
14,59,9,5,1,39,33
6,39,6,7,5,67,32
7,6,9,6,5,-5,30
2,37,4,2,3,61,4
20,66,7,6,3,52,44
17,19,3,7,5,63,60
10,16,5,2,3,48,76
4,44,8,5,5,52,31
11,36,2,5,5,-5,32
16,46,1,2,4,21,29
19,16,1,12,5,0,49
17,19,6,5,5,-16,73
4,54,1,2,5,6,44
16,53,11,6,5,22,53
5,35,4,5,5,-11,34
10,53,9,3,3,102,15
2,37,1,5,5,10,53
11,10,8,3,1,57,20
7,6,4,5,5,72,39
15,48,7,3,5,49,50
5,10,2,12,5,89,9
9,13,2,6,2,36,30
7,44,4,1,2,104,68
17,57,2,12,5,-11,18
19,49,1,4,5,14,80
18,8,9,4,5,-9,31
7,12,8,5,5,91,29
16,53,9,8,5,14,72
3,71,7,2,3,87,3
8,54,2,7,5,-17,30
14,9,1,7,4,77,29
19,56,8,12,5,-17,34
17,14,6,8,5,49,15
15,31,1,5,4,56,74
1,45,4,7,5,-9,39
5,9,1,1,2,31,55
8,9,4,7,5,20,62
11,9,1,3,4,52,53
6,12,2,7,5,-11,66
16,11,2,5,4,-14,79
7,77,9,2,1,58,18
4,51,12,11,5,82,12
13,51,6,2,3,3,19
8,24,4,3,5,32,36
10,25,4,7,5,65,73
15,40,4,3,4,-30,12
17,9,7,6,2,113,28
13,38,4,6,4,62,54
15,58,1,5,5,24,13
7,46,7,3,2,54,20
17,51,3,2,5,-30,2
17,52,6,3,5,89,46
12,43,10,5,5,31,67
3,53,4,2,4,74,47
15,47,2,7,4,6,24
14,24,3,4,2,70,16
7,11,2,6,5,-17,14
11,24,3,4,2,98,27
7,68,3,3,3,19,40
19,25,2,3,3,114,69
9,4,3,6,1,25,9
8,5,2,3,4,35,38
3,66,8,2,1,13,27
4,17,5,5,5,59,53
16,67,6,5,3,92,25
13,17,4,1,3,45,49
7,7,1,3,3,113,73
17,17,4,7,4,80,47
10,55,3,6,2,44,4
14,22,10,12,5,35,18
5,63,4,1,2,23,18
12,35,2,3,5,62,2
9,4,2,11,5,99,27
4,37,2,4,5,82,63
11,6,4,2,4,-23,48
6,3,2,2,4,62,36
16,8,4,4,5,-25,52
19,20,5,6,5,11,27
14,9,1,7,5,27,31
4,4,2,6,5,42,65
8,1,1,6,1,115,80
3,22,5,6,3,102,41
13,34,7,6,2,18,46
13,70,4,6,3,38,24
12,52,4,6,4,-1,59
2,56,2,4,4,-1,43
12,14,4,8,5,55,43
4,20,2,6,5,43,15
12,9,4,2,5,62,51
15,14,9,4,2,46,8
8,9,1,4,4,-12,55
11,33,2,4,5,79,58
8,5,5,4,2,53,45
4,31,3,4,5,71,43
13,46,2,4,5,71,3
5,11,9,8,5,67,50
15,30,10,3,5,11,41
6,34,5,6,5,75,79
6,29,11,10,5,58,8
8,72,1,5,3,50,1
8,55,12,6,5,51,59
6,10,3,5,4,32,15
11,7,7,4,3,47,38
13,13,5,10,5,22,53
4,52,2,4,5,60,29
15,9,8,6,2,8,5
17,64,3,4,2,80,74
8,2,8,6,5,79,58
7,44,3,12,5,-12,24
13,11,10,10,5,42,17
12,14,12,3,5,71,81
17,55,4,6,5,13,27
14,57,2,5,4,43,9
10,25,6,12,5,59,78
15,8,4,3,2,79,57
18,43,2,5,4,4,49
3,47,4,3,5,67,35
12,48,2,1,2,90,55
16,18,7,5,5,54,55
5,35,8,6,1,34,53
7,26,2,12,5,85,13
16,71,9,6,2,51,32
18,51,1,3,4,22,66
18,46,10,4,5,15,39
8,2,4,4,5,2,39
6,14,3,4,5,38,64
2,23,6,6,1,9,44
11,42,8,8,5,10,34
11,5,2,2,5,-13,79
7,33,2,5,4,-19,43
5,70,6,3,2,113,2
8,20,4,5,5,38,32
15,58,3,11,5,-3,5
14,32,9,6,3,97,70
8,60,4,1,2,50,24
3,21,6,2,2,-2,0
17,13,2,5,4,49,69
12,58,2,3,5,18,44
13,34,12,11,5,38,57
14,12,8,1,2,100,29
17,30,8,7,5,23,5
4,37,3,4,5,97,73
9,3,2,6,5,23,22
14,29,1,4,5,35,7
6,8,2,3,5,14,25
5,15,3,6,5,34,76
13,49,4,5,4,67,63
9,44,3,12,5,80,77
17,54,4,5,5,65,50
10,39,12,3,5,92,64
4,80,7,2,2,6,78
5,54,6,4,5,71,78
4,2,3,3,4,-22,53
15,82,4,2,3,36,9
10,63,4,6,1,-1,16
10,19,12,8,5,1,46
10,26,9,5,5,18,60
9,53,9,5,1,25,21
18,9,10,11,5,-17,57
7,31,1,4,5,58,35
19,8,2,9,5,58,44
18,2,4,6,2,27,15
3,54,2,3,4,8,40
19,37,5,4,5,9,46
11,36,12,7,5,30,52
7,52,2,3,4,52,43
16,3,8,3,1,80,12
9,44,6,4,3,22,39
19,55,11,11,5,94,74
18,33,1,6,4,25,30
15,61,4,5,1,105,53
9,7,7,4,5,86,11
13,3,3,11,5,-1,57
20,14,6,4,2,69,25
18,50,1,4,2,66,10
12,47,12,3,5,21,72
13,4,5,5,1,80,71
13,36,10,12,5,23,27
8,13,4,3,4,14,6
19,19,8,1,1,34,39
9,59,10,8,5,3,61
19,40,11,7,5,32,56
14,48,4,5,5,86,44
9,15,3,7,4,81,80
3,57,2,3,5,38,41
7,78,9,4,2,27,15
8,17,8,12,5,99,54
9,37,2,4,5,23,79
20,46,3,7,5,96,1
17,23,3,5,5,20,78
10,5,3,5,4,0,29
4,19,3,6,4,1,77
17,29,4,12,5,80,79
10,4,3,3,4,85,29
15,81,6,1,1,22,60
10,15,2,4,5,46,38
13,14,4,4,5,-29,43
19,6,8,5,2,16,29
5,44,11,11,5,11,36
16,30,4,6,4,64,74
2,46,1,5,4,86,81
20,27,5,6,1,2,24
15,16,9,5,2,5,7
17,10,6,3,5,81,10
10,50,2,8,5,53,54
13,47,3,3,4,15,69
14,7,1,12,5,55,77
8,36,9,2,2,22,71
2,9,8,4,1,101,55
16,24,4,3,4,10,77
5,14,3,2,4,18,60
19,83,1,4,3,53,69
15,71,1,3,2,41,5
10,41,3,6,5,-2,79
8,61,6,6,2,53,71
2,80,6,2,2,96,20
1,56,4,7,5,-27,37
8,28,11,11,5,-17,33
7,51,11,9,5,79,26
4,36,3,5,5,2,39
3,6,3,2,1,24,33
15,25,4,3,1,79,26
11,6,2,2,5,22,78
16,22,1,6,2,78,52
6,74,6,2,3,104,75
14,50,1,3,4,15,21
2,52,2,2,4,87,53
9,77,8,2,1,25,66
17,25,4,3,5,29,6
9,9,6,4,1,10,31
15,38,3,3,5,0,26
1,51,3,1,1,76,3
18,20,4,6,2,56,46
2,30,3,5,4,58,53
3,74,4,2,1,103,54
18,71,3,6,1,76,11
15,38,3,2,1,78,71
13,44,7,3,2,22,56
17,28,9,6,5,-20,14
13,2,4,2,4,55,67
5,42,3,6,4,43,43
6,6,10,3,5,24,17
13,54,3,3,4,-12,11
18,14,12,6,5,89,63
18,26,6,3,5,40,31
8,43,9,5,3,70,79
15,8,4,2,3,26,52
14,3,4,7,4,13,57
8,50,2,11,5,21,38
15,34,4,6,5,63,35
17,13,5,4,5,58,16
15,9,2,5,5,-11,46
7,63,1,1,3,68,32
3,47,1,2,2,81,54
16,16,2,4,5,50,58
20,36,3,5,2,90,71
18,55,4,5,4,56,57
6,17,3,6,5,63,47
14,68,1,2,1,10,52
13,57,2,2,5,75,1
4,5,9,5,3,46,23
7,51,2,9,5,-3,74
13,78,7,5,1,39,23
18,52,3,5,1,116,72
12,73,8,2,2,106,45
9,38,3,7,4,70,51
14,50,3,3,5,58,6
3,6,3,7,4,15,19
18,23,3,6,5,80,32
16,36,6,5,5,13,40
8,43,11,9,5,13,47
7,46,5,2,3,-1,79
14,29,4,2,5,-19,65
20,17,1,9,5,85,50
6,40,6,8,5,38,34
17,57,6,12,5,-5,47
17,80,8,2,3,76,10
1,76,8,1,2,108,2
8,31,7,6,1,22,78
4,41,8,2,2,82,63
14,34,1,3,5,41,62
16,48,12,6,5,78,19
6,22,1,5,5,56,29
17,30,10,4,5,56,30
9,30,8,5,3,6,66
10,82,3,6,2,112,67
12,79,7,4,1,13,30
1,22,1,6,5,16,14
14,1,7,3,2,62,51
18,23,2,7,5,-4,46
6,17,10,11,5,87,73
20,7,7,2,1,44,25
19,8,9,5,5,89,73
18,17,2,9,5,22,7
13,36,3,2,1,90,79
10,8,4,5,4,82,29
1,33,9,6,2,94,3
7,25,9,5,2,83,10
11,78,5,6,1,27,44
9,12,1,3,5,-8,5
11,48,4,9,5,50,2
4,26,8,6,1,56,44
18,26,2,5,4,7,62
8,24,3,5,4,2,49
14,55,3,3,4,60,22
17,45,8,9,5,60,61
14,18,2,4,4,74,44
5,52,12,9,5,30,43
18,29,1,12,5,20,48
19,3,11,8,5,34,56
14,40,2,4,1,88,22
3,59,2,2,2,109,41
9,4,3,7,5,-1,52
4,28,3,3,5,-2,79
9,13,7,1,2,49,0
1,43,3,3,4,-6,29
13,3,4,3,5,6,65
7,44,1,7,5,-27,31
3,42,2,7,5,-17,2
8,32,1,5,1,89,34
10,32,8,2,1,90,54
4,18,2,5,4,10,60
7,26,4,3,5,67,77
15,38,2,5,5,23,20
18,26,1,6,4,88,57
7,79,9,4,1,54,50
16,2,8,5,5,54,14
4,35,3,4,5,-10,65
11,26,9,6,1,9,21
14,49,3,3,4,8,9
17,9,9,7,5,-4,64
6,17,4,2,3,106,24
18,1,1,2,1,23,44
4,46,7,9,5,-13,10
6,51,8,3,1,106,52
11,42,2,12,5,23,2
14,37,6,3,5,30,77
20,53,1,6,1,68,79
13,11,6,5,5,44,78
8,17,6,6,3,33,76
17,48,6,11,5,81,67
17,49,4,5,5,48,72
12,45,3,3,4,48,8
7,39,1,2,5,-2,66
19,2,9,4,2,21,57
8,59,3,9,5,76,42
15,11,4,2,5,74,45
7,15,1,12,5,29,3
5,26,7,6,1,117,58
18,28,3,5,5,42,81
10,12,1,2,4,67,15
14,34,3,3,5,10,63
17,23,5,12,5,41,80
11,59,5,8,5,11,18
9,21,12,6,5,96,56
9,54,4,4,4,68,69
12,4,1,6,4,41,32
10,35,9,1,2,64,7
6,37,1,3,5,31,43
6,2,2,3,2,86,27
13,53,5,3,1,24,60
1,11,9,3,3,109,22
4,14,7,4,5,74,27
15,34,1,7,5,19,31
6,45,9,2,1,59,75
8,41,9,6,3,2,1
5,56,11,11,5,64,37
16,81,6,2,3,67,40
5,37,9,5,5,45,12
17,6,11,7,5,50,3
16,34,8,4,2,69,31
16,51,5,6,5,-20,59
17,34,8,1,3,112,54
15,31,3,5,2,11,18
7,14,10,12,5,14,45
17,78,6,1,1,28,6
8,10,2,5,1,81,79
8,4,1,3,5,-23,58
17,14,2,4,5,52,43
16,40,9,9,5,77,11
18,36,2,7,5,98,41
5,8,6,6,1,8,55
10,35,2,2,5,-28,69
16,16,4,3,4,38,70
4,38,9,9,5,22,15
3,70,4,4,1,101,2
18,68,4,5,1,113,50
14,1,4,7,5,26,45
12,39,7,3,5,2,9
4,10,1,4,5,24,39
10,56,8,6,3,56,20
4,5,11,3,5,93,0
18,20,8,6,2,104,63
3,55,4,2,5,17,2
10,73,3,3,1,47,46
15,41,3,3,5,8,7
18,48,7,11,5,48,0
14,44,2,5,4,43,53
9,15,3,3,5,82,52
16,6,5,3,5,52,7
6,44,1,7,5,89,78
16,52,2,3,4,-25,18
14,23,3,5,2,72,40
16,67,1,6,3,83,41
13,14,1,6,3,46,22
18,77,1,2,1,95,23
19,12,5,4,1,89,10
5,48,12,9,5,49,8
19,46,7,4,3,86,57
10,16,7,8,5,58,56
13,25,4,6,4,32,15
11,69,5,5,2,11,57
13,47,1,6,2,87,70
15,4,3,6,5,91,17
8,24,2,10,5,99,36
6,12,8,6,1,48,6
17,17,9,3,5,-11,62
16,17,5,11,5,-20,22
20,62,1,1,2,20,5
13,55,2,6,5,-16,7
16,29,2,4,5,58,62
16,42,3,2,3,113,53
17,44,4,5,5,54,26
19,45,3,3,5,68,15
4,27,7,6,2,79,36
13,17,7,4,2,5,33
7,18,7,3,5,9,12
7,27,1,4,4,50,69
12,23,3,4,4,6,26
19,55,8,12,5,17,48
11,5,10,3,5,80,77
5,28,2,7,5,95,5
7,32,2,6,5,1,38
14,57,4,3,5,-10,52
15,42,3,2,4,54,39
18,80,6,1,1,38,40
4,47,1,3,5,11,42
19,47,4,7,5,84,33
16,57,6,4,1,24,49
18,16,7,12,5,53,35
9,33,11,8,5,8,36
8,33,4,7,5,23,34
14,26,9,6,3,28,41
18,34,1,6,3,107,42
1,27,4,5,5,-4,8
16,48,11,5,5,94,39
18,45,1,5,4,0,18
16,52,9,6,5,91,37
15,33,1,10,5,13,5
14,43,5,6,2,112,48
1,16,1,2,5,-5,75
3,35,2,7,5,10,19
6,42,6,3,5,90,14
9,70,1,1,3,43,37
12,32,4,11,5,47,55
13,4,10,4,5,38,44
13,1,4,3,4,-9,43
13,28,3,11,5,80,70
3,44,4,2,4,36,40
18,27,1,1,3,96,32
17,24,8,6,5,66,80
14,83,5,4,2,70,67
2,13,9,5,1,71,42
17,46,1,2,4,87,52
5,12,4,12,5,80,57
20,42,9,4,5,2,8
19,75,3,6,3,4,79
10,49,4,2,4,8,79
16,10,10,12,5,99,21
11,3,3,6,5,-19,72
4,44,5,10,5,26,47
13,25,2,8,5,-13,78
4,21,3,6,5,-6,81
5,11,1,6,2,43,51
3,19,2,1,1,90,54
2,48,4,2,5,87,73
14,54,9,12,5,67,79
9,23,4,7,4,18,33
1,11,1,3,5,25,59
5,54,9,3,5,82,37
6,5,8,8,5,5,70
9,3,1,6,5,-23,79
5,36,8,7,5,59,8
6,47,3,8,5,8,41
17,22,1,9,5,37,18
7,30,3,2,3,67,2
14,33,8,2,2,25,52
5,57,1,2,5,-14,37
12,15,8,1,3,50,59
2,23,7,2,3,76,14
3,27,1,5,5,36,54
11,67,7,2,3,15,53
12,17,7,4,5,18,6
18,14,9,3,2,60,68
10,3,2,10,5,42,72
14,36,1,4,4,86,11
18,20,2,4,5,12,14
20,37,2,7,5,-14,8
17,61,5,3,5,96,66
5,8,1,2,4,45,77
9,5,9,3,2,97,61
13,41,2,3,5,80,47
8,6,7,8,5,48,32
16,48,9,6,5,81,3
14,2,12,8,5,90,25
17,12,10,4,5,77,37
8,8,4,3,1,92,22
17,58,9,6,2,72,77
14,57,4,2,4,63,12
20,35,9,3,5,-18,50
9,20,2,9,5,72,12
13,16,4,8,5,72,50
16,54,3,12,5,31,0
10,32,1,4,5,34,3
5,55,2,4,1,16,29
17,42,8,9,5,22,71
15,30,2,4,1,113,37
5,30,2,10,5,18,80
17,3,9,2,2,37,74
6,26,7,3,2,89,22
4,42,4,2,4,89,25
5,55,5,3,3,20,43
18,41,7,9,5,-1,80
5,30,3,4,5,30,3
16,6,3,5,3,34,29
7,49,5,8,5,4,34
6,61,1,10,5,9,36
12,80,5,6,2,49,52
13,7,1,2,5,65,25
8,26,10,3,5,10,7
11,51,3,4,5,40,19
8,14,9,11,5,66,39
4,57,11,6,5,65,31
4,4,3,7,5,90,34
13,31,4,2,1,82,71
6,9,8,12,5,16,42
7,55,4,7,4,1,22
2,15,4,4,4,86,65
20,24,7,9,5,45,3
6,37,4,4,2,20,39
6,49,1,3,4,61,15
5,20,8,9,5,-8,76
17,30,4,6,2,103,67
15,20,4,2,5,21,78
17,28,3,1,3,0,71
17,40,3,7,4,28,63
16,42,10,12,5,94,61
4,15,4,5,5,67,24
15,45,1,6,5,12,55
17,78,7,3,2,7,40
11,50,1,2,4,46,65
19,24,3,12,5,47,60
7,47,5,8,5,11,43
10,2,4,7,5,-6,19
20,23,7,2,2,23,69
8,65,5,6,1,103,21
7,23,4,3,1,59,56
4,23,1,7,5,62,81
15,38,4,1,1,12,81
19,62,5,6,3,85,29
13,50,10,5,5,20,32
15,21,8,10,5,75,35
7,22,4,2,4,22,26
10,22,6,10,5,69,40
9,68,2,2,1,105,28
3,35,1,6,5,23,4
7,1,4,4,1,70,22
4,5,1,4,4,0,66
7,58,7,4,3,101,51
19,17,9,10,5,51,68
12,37,2,4,5,67,59
7,7,1,4,5,63,38
20,53,8,3,1,93,14
14,24,7,3,1,89,63
2,53,3,2,4,-24,40
18,23,4,11,5,1,58
18,66,1,5,2,46,2
3,31,4,1,1,88,75
16,16,7,2,3,30,34
2,21,1,4,4,43,77
11,62,8,6,1,1,37
4,44,9,8,5,75,43
15,9,2,2,1,82,14
2,42,5,2,1,47,11
16,51,4,2,5,87,70
9,37,3,2,5,46,50
3,14,5,5,1,78,9
5,6,10,8,5,61,47
20,26,5,6,3,23,24
17,14,9,4,1,62,57
3,32,2,4,4,22,70
1,7,9,3,3,93,65
10,11,3,5,4,21,29
9,21,10,12,5,87,67
8,55,10,7,5,37,54
19,41,3,11,5,9,13
12,25,4,7,5,2,43
6,6,10,8,5,44,75
2,28,2,4,1,24,15
18,29,2,4,4,10,72
9,14,1,2,3,29,48
17,44,3,10,5,79,12
13,2,4,3,5,-9,49
20,11,3,9,5,7,43
3,51,3,7,4,77,56
16,12,10,8,5,20,71
8,75,4,3,3,51,35
12,43,12,4,5,49,18
7,18,4,3,4,52,35
7,30,2,2,4,46,13
9,50,4,4,5,20,68
9,22,1,3,4,58,50
4,64,2,1,1,76,51
11,25,1,5,4,58,1
2,54,2,2,5,88,75
9,34,5,1,2,73,52
13,60,9,5,5,75,29
17,9,4,11,5,69,8
19,39,2,12,5,56,70
6,38,12,11,5,99,34
19,38,7,8,5,71,35
7,35,4,3,5,12,40
16,48,4,5,5,-9,62
16,23,4,7,4,69,40
8,45,1,2,5,81,36
14,42,1,4,5,-19,4
16,55,3,4,5,89,19
4,3,4,10,5,30,16
11,60,2,2,2,101,24
6,28,9,11,5,25,6
14,11,5,3,3,6,22
9,10,10,8,5,59,31
5,5,6,4,2,31,25
16,53,7,3,3,81,10
16,49,7,3,5,14,28
12,42,4,3,2,64,69
12,36,8,4,5,23,43
10,14,1,5,5,56,69
6,56,1,5,5,21,49
5,18,1,5,4,46,61
10,16,4,6,4,62,28
11,36,3,11,5,85,22
13,47,3,5,5,55,4
7,31,3,3,4,74,28
6,45,4,11,5,19,26
5,25,2,7,5,42,16
18,22,2,8,5,55,37
18,3,2,2,4,4,14
6,15,1,1,1,55,42
6,47,4,4,2,63,57
8,39,9,4,5,43,27
17,31,1,2,4,22,8
11,55,10,4,5,57,28
7,43,2,5,5,57,31
9,31,8,1,2,93,29
14,35,2,3,3,44,43
16,43,2,6,5,-27,52
15,12,6,3,1,100,40
16,27,7,4,1,52,68
17,78,2,3,1,59,69
15,47,2,3,4,5,12
18,42,4,6,4,46,62
10,47,7,6,1,31,16
6,68,5,3,1,20,66
11,56,8,5,5,40,29
8,50,8,4,5,-18,73
3,37,1,4,5,87,35
1,19,2,4,2,107,42
17,46,4,2,2,116,75
4,12,9,6,3,80,39
4,1,10,7,5,13,18
13,4,3,3,5,10,3
12,41,3,4,5,51,19
11,23,4,3,4,-20,81
14,40,2,3,4,56,70
16,23,4,10,5,40,44
1,36,5,3,3,80,9
8,3,6,4,3,43,9
9,33,4,3,4,74,4
10,5,7,4,5,-8,15
4,67,8,3,2,81,34
10,47,3,7,4,80,57
14,29,3,6,5,31,14
3,17,2,2,5,-3,21
11,23,4,2,4,49,11
10,18,1,9,5,29,73
10,31,10,6,5,47,39
9,7,4,4,5,3,48
10,30,3,6,5,35,11
6,28,1,5,5,86,34
17,39,3,6,5,76,15
20,7,11,7,5,29,41
11,18,1,5,5,65,45
4,4,5,9,5,15,49
6,44,1,4,5,75,15
9,48,4,3,5,34,37
9,17,4,5,5,14,38
5,7,3,4,5,44,37
15,56,1,5,5,57,15
13,12,6,6,1,-1,68
8,18,10,10,5,10,48
10,56,8,1,1,22,24
14,44,5,5,1,57,8
17,33,6,6,1,72,26
10,58,12,4,5,-2,47
4,29,3,1,2,37,4
20,40,11,6,5,62,52
4,42,10,12,5,38,27
2,35,2,7,5,-26,30
5,20,4,6,2,19,27
7,35,4,10,5,95,5
7,46,1,2,4,14,10
3,81,3,6,1,8,58
6,50,5,6,5,43,31
1,54,7,6,3,40,69
11,28,4,7,4,61,40
18,14,9,1,3,70,12
15,15,12,4,5,19,5
10,38,3,3,5,38,11
11,31,2,5,5,-11,37
17,52,9,4,1,105,70
16,75,9,3,1,3,53
3,45,2,5,4,77,70
15,59,11,5,5,20,70
11,23,6,2,2,38,33
19,34,8,10,5,25,25
3,21,6,6,2,50,48
5,33,3,4,5,34,79
16,13,12,7,5,68,79
13,55,1,8,5,13,8
7,6,3,7,4,81,9
7,18,8,6,5,-14,46
14,17,4,5,4,81,45
2,43,3,2,4,38,31
8,14,2,7,5,59,3
19,50,1,8,5,57,47
4,48,5,5,5,90,7
17,43,3,6,4,18,36
15,29,1,2,1,20,3
20,9,5,7,5,22,12
17,19,6,2,1,39,7
15,11,4,6,5,44,75
18,14,4,6,4,24,1
8,6,6,12,5,-16,71
16,33,5,11,5,27,75
8,19,6,6,3,27,63
14,50,8,5,3,105,7
10,71,5,4,2,100,72
9,43,4,10,5,-11,80
20,30,11,9,5,92,21
4,56,5,4,3,1,76
18,37,9,8,5,9,49
5,32,7,9,5,83,22
1,6,4,4,4,-30,50
7,51,2,4,5,69,27
12,71,7,6,3,42,7
12,11,4,4,5,26,48
7,37,9,6,5,61,14
3,46,2,7,5,67,56
20,44,11,10,5,-9,54
12,42,8,2,3,108,6
6,33,1,5,5,-16,22
